,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
79,Calle,Jarnkrok,C,2022-23,31,TOR,NHL,73,20,19,39,9,14,16,3,1,2,15,2,2,106,18.9,197,1050,14:23,42,52,44.7,19,50,21,12,,16,16,' placed on IR with groin injury'
80,Patric,Hornqvist,RW,2022-23,36,FLA,NHL,22,1,2,3,-4,13,1,0,0,1,1,1,0,40,2.5,66,204,9:16,1,5,16.7,8,18,5,0,,191,191,' placed on IR with concussion (out for season)'
81,Bowen,Byram,D,2022-23,21,COL,NHL,42,10,14,24,7,38,7,2,1,1,10,4,0,65,15.4,140,919,21:53,0,0,,54,82,13,20,,63,63,' placed on IR with lower body injury'
82,Martin,Fehervary,D,2022-23,23,WSH,NHL,67,6,10,16,-11,31,6,0,0,1,10,0,0,91,6.6,189,1340,20:00,0,0,,128,217,13,33,,26,26,' placed on IR with upper body injury'
83,Ryan,McDonagh,D,2022-23,33,NSH,NHL,71,2,18,20,12,22,2,0,0,1,18,0,0,78,2.6,178,1529,21:32,0,0,,165,63,47,59,,16,16,' placed on IR with upper body injury'
84,Isac,Lundestrom,C,2022-23,23,ANA,NHL,61,4,10,14,-13,2,3,0,1,0,10,0,0,60,6.7,104,874,14:20,286,316,47.5,43,20,23,13,,44,44,' placed on IR with fractured finger'
85,Tanner,Laczynski,C,2022-23,25,PHI,NHL,32,2,2,4,-5,2,2,0,0,0,2,0,0,23,8.7,44,305,9:31,50,47,51.5,10,30,10,3,,87,87,' placed on IR with lower body injury'
86,Victor,Mete,D,2022-23,24,TOR,NHL,11,0,2,2,3,4,0,0,0,0,2,0,0,7,0.0,16,144,13:04,0,0,,9,3,2,7,,189,189,' placed on IR with lower body injury (out for season)'
87,Mathieu,Joseph,RW,2022-23,25,OTT,NHL,56,3,15,18,5,36,0,1,2,0,12,2,1,66,4.5,124,785,14:01,3,6,33.3,28,80,25,18,,40,40,' placed on IR with lower body injury'
88,Jeff,Petry,D,2022-23,35,PIT,NHL,61,5,26,31,2,24,3,2,0,0,19,7,0,113,4.4,253,1363,22:21,0,0,,111,190,23,36,,41,41,' placed on IR with upper body injury'
89,Logan,Stanley,D,2022-23,24,WPG,NHL,19,1,2,3,-1,21,1,0,0,0,2,0,0,11,9.1,38,261,13:43,0,0,,20,44,3,10,,44,44,' placed on IR with lower body injury'
90,Saku,Maenalanen,RW,2022-23,28,WPG,NHL,64,4,6,10,0,16,4,0,0,0,6,0,0,61,6.6,109,661,10:20,3,5,37.5,31,113,23,16,,32,32,' placed on IR with upper body injury'
91,Jack,Eichel,C,2022-23,26,VEG,NHL,67,27,39,66,26,6,25,2,0,2,26,12,1,223,12.1,359,1257,18:46,359,434,45.3,56,59,47,54,Byng-13,22,22,' placed on IR with lower body injury'
92,Zach,Whitecloud,D,2022-23,26,VEG,NHL,59,5,7,12,10,41,5,0,0,1,7,0,0,64,7.8,139,1010,17:07,0,0,,97,90,24,25,,57,57,' placed on IR with lower body injury'
93,Nicholas,Robertson,LW,2022-23,21,TOR,NHL,15,2,3,5,2,0,2,0,0,1,3,0,0,27,7.4,48,163,10:53,2,1,66.7,7,18,7,5,,183,183,' placed on IR with shoulder injury (out for season)'
94,Adam,Pelech,D,2022-23,28,NYI,NHL,61,6,15,21,15,36,6,0,0,0,14,0,1,97,6.2,230,1321,21:39,0,0,,110,77,31,38,,39,39,' placed on IR with upper body injury'
95,Nate,Schmidt,D,2022-23,31,WPG,NHL,71,7,12,19,15,8,4,3,0,0,10,2,0,101,6.9,245,1311,18:28,0,0,,85,45,21,50,Byng-27,21,21,' placed on IR with concussion'
96,Blake,Wheeler,RW,2022-23,36,WPG,NHL,72,16,39,55,-3,46,9,7,0,6,31,8,0,126,12.7,254,1227,17:03,65,61,51.6,35,54,45,27,,20,20,' placed on IR with groin injury'
97,Luke,Kunin,C,2022-23,25,SJS,NHL,31,5,8,13,-9,42,3,2,0,0,6,2,0,58,8.6,99,478,15:26,5,7,41.7,27,63,12,6,,177,177,' placed on IR with lower body injury (out for season)'
98,Boone,Jenner,C,2022-23,29,CBJ,NHL,68,26,19,45,-32,51,19,7,0,3,15,4,0,214,12.1,386,1374,20:12,758,628,54.7,70,129,28,25,,26,26,' placed on IR with fractured thumb'
99,Ryan,Murray,D,2022-23,29,EDM,NHL,13,0,3,3,-4,4,0,0,0,0,3,0,0,8,0.0,17,171,13:07,0,0,,12,11,0,7,,118,118,' placed on IR with back injury'
100,Yegor,Chinakhov,RW,2022-23,21,CBJ,NHL,30,4,9,13,-6,10,3,1,0,0,8,1,0,44,9.1,91,398,13:15,1,2,33.3,17,27,21,10,,69,69,' placed on IR with upper body injury / ankle injury'
101,Cal,Clutterbuck,RW,2022-23,35,NYI,NHL,49,6,6,12,9,30,6,0,0,1,6,0,0,44,13.6,79,599,12:13,1,4,20.0,33,194,10,15,,"15, 48",63,"' placed on IR with upper body injury', ' placed on IR with upper body injury'"
102,Cole,Sillinger,C,2022-23,19,CBJ,NHL,64,3,8,11,-23,22,1,2,0,0,7,1,0,93,3.2,179,852,13:19,308,388,44.3,36,105,17,15,,5,5,' placed on IR with upper body injury'
103,Nathan,Bastian,RW,2022-23,25,NJD,NHL,43,6,9,15,7,31,6,0,0,1,9,0,0,62,9.7,102,535,12:26,11,26,29.7,38,99,11,6,,28,28,' placed on IR with upper body injury'
104,Rasmus,Sandin,D,2022-23,22,TOT,NHL,71,7,28,35,3,39,7,0,0,0,17,11,0,81,8.6,174,1372,19:20,0,0,,87,136,25,48,,12,12,' placed on IR with neck injury'
105,Paul,Cotter,C,2022-23,23,VEG,NHL,55,13,5,18,-5,15,13,0,0,1,5,0,0,76,17.1,131,705,12:50,11,13,45.8,17,168,17,11,,13,13,' placed on IR with upper body injury'
106,Kyle,Palmieri,RW,2022-23,31,NYI,NHL,55,16,17,33,13,24,13,3,0,3,15,2,0,122,13.1,240,940,17:06,9,15,37.5,17,76,13,20,,31,31,' placed on IR with upper body injury'
