,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
713,Stanislav,Svozil,D,2022-23,20,CBJ,NHL,2,0,1,1,-3,2,0,0,0,0,0,1,0,3,0.0,,40,20:07,0,0,,1,1,,,,,,
714,Nick,Swaney,RW,2022-23,25,MIN,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10,9:33,0,0,,0,3,,,,,,
715,Billy,Sweezey,D,2022-23,26,CBJ,NHL,9,0,1,1,-3,9,0,0,0,0,1,0,0,3,0.0,,154,17:07,0,0,,20,39,,,,,,
716,Brandon,Tanev,LW,2022-23,31,SEA,NHL,82,16,19,35,21,44,15,0,1,3,19,0,0,115,13.9,,1166,14:13,3,22,12.0,68,190,,,,,,
717,Chris,Tanev,D,2022-23,33,CGY,NHL,65,1,12,13,7,21,1,0,0,1,11,1,0,75,1.3,,1308,20:07,0,0,,130,51,,,,,,
718,Tomáš,Tatar,LW,2022-23,32,NJD,NHL,82,20,28,48,41,30,19,1,0,1,25,3,0,153,13.1,,1240,15:07,17,26,39.5,30,65,,,,,,
719,John,Tavares,C,2022-23,32,TOR,NHL,80,36,44,80,-7,34,18,18,0,9,23,21,0,277,13.0,,1413,17:39,726,519,58.3,36,112,,,,,,
720,Joel,Teasdale,F,2022-23,23,MTL,NHL,2,0,1,1,-2,0,0,0,0,0,1,0,0,1,0.0,,22,10:52,0,1,0.0,1,2,,,,,,
721,Teuvo,Teräväinen,F,2022-23,28,CAR,NHL,68,12,25,37,11,16,5,5,2,2,18,6,1,144,8.3,,1150,16:55,33,20,62.3,18,15,,,,,,
722,Robert,Thomas,C,2022-23,23,STL,NHL,73,18,47,65,-8,22,12,5,1,2,30,17,0,106,17.0,,1412,19:21,646,575,52.9,29,15,,,,,,
723,Tage,Thompson,C,2022-23,25,BUF,NHL,78,47,47,94,4,39,26,20,1,7,33,14,0,295,15.9,,1450,18:35,350,463,43.1,26,55,,,,,,
724,Tyce,Thompson,RW,2022-23,23,NJD,NHL,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,17,8:39,0,0,,2,0,,,,,,
725,Lassi,Thomson,D,2022-23,22,OTT,NHL,2,0,0,0,-2,4,0,0,0,0,0,0,0,1,0.0,,22,10:54,0,0,,0,2,,,,,,
726,Henry,Thrun,D,2022-23,21,SJS,NHL,8,0,2,2,-3,0,0,0,0,0,2,0,0,7,0.0,,159,19:52,0,0,,9,4,,,,,,
727,Chris,Tierney,C,2022-23,28,TOT,NHL,36,3,7,10,-8,6,3,0,0,0,6,0,1,19,15.8,,391,10:52,111,125,47.0,21,15,,,,,,
728,Conor,Timmins,D,2022-23,24,TOT,NHL,27,2,12,14,-1,8,2,0,0,1,8,4,0,19,10.5,,407,15:05,0,0,,18,23,,,,,,
729,Owen,Tippett,RW,2022-23,23,PHI,NHL,77,27,22,49,-17,16,19,8,0,4,18,4,0,231,11.7,,1342,17:26,19,11,63.3,69,125,,,,,,
730,Brady,Tkachuk,LW,2022-23,23,OTT,NHL,82,35,48,83,-10,126,24,11,0,6,30,18,0,347,10.1,,1528,18:38,370,395,48.4,9,242,,,,,,
