,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Justin,Abdelkader,LW,2018-19,31,DET,NHL,71,6,13,19,-14,38,4,1,1,0,12,1,0,95,6.3,,1093,15:24,52,51,50.5,34,185,,,,,,
1,Pontus,Åberg,LW,2018-19,25,TOT,NHL,59,12,13,25,-14,20,9,3,0,1,9,4,0,101,11.9,,861,14:36,2,17,10.5,11,45,,,,,,
2,Vitaly,Abramov,RW,2018-19,20,OTT,NHL,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,,,14,13:52,0,0,,1,0,,,,,,
3,Kenny,Agostino,LW,2018-19,26,TOT,NHL,63,6,18,24,-3,34,6,0,0,0,13,5,0,79,7.6,,814,12:55,15,27,35.7,14,143,,,,,,
4,Andrew,Agozzino,LW,2018-19,28,COL,NHL,11,1,1,2,2,0,1,0,0,0,1,0,0,11,9.1,,86,7:49,16,22,42.1,3,14,,,,,,
5,Mark,Alt,D,2018-19,27,COL,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,20,9:55,0,0,,2,0,,,,,,
6,Karl,Alzner,D,2018-19,30,MTL,NHL,9,0,1,1,1,2,0,0,0,0,1,0,0,8,0.0,,156,17:18,0,0,,10,13,,,,,,
7,Michael,Amadio,C,2018-19,22,LAK,NHL,43,6,7,13,-1,6,6,0,0,0,7,0,0,37,16.2,,439,10:12,96,127,43.0,13,16,,,,,,
8,Joey,Anderson,RW,2018-19,20,NJD,NHL,34,4,3,7,-7,6,3,0,1,1,3,0,0,49,8.2,,439,12:54,9,8,52.9,11,42,,,,,,
9,Josh,Anderson,RW,2018-19,24,CBJ,NHL,82,27,20,47,25,60,22,3,2,5,15,4,1,230,11.7,,1396,17:01,12,26,31.6,40,214,,,,,,
10,Jaret,Anderson-Dolan,C,2018-19,19,LAK,NHL,5,0,1,1,-2,0,0,0,0,0,1,0,0,6,0.0,,58,11:36,4,5,44.4,2,5,,,,,,
11,Lias,Andersson,C,2018-19,20,NYR,NHL,42,2,4,6,-13,29,1,0,1,0,4,0,0,41,4.9,,450,10:43,84,106,44.2,8,60,,,,,,
12,Rasmus,Andersson,D,2018-19,22,CGY,NHL,79,2,17,19,17,23,2,0,0,0,15,2,0,115,1.7,,1267,16:02,0,0,,83,52,,,,,,
13,Sven,Andrighetto,RW,2018-19,25,COL,NHL,64,7,10,17,10,14,7,0,0,1,10,0,0,95,7.4,,708,11:04,3,8,27.3,32,29,,,,,,
14,Artem,Anisimov,C,2018-19,30,CHI,NHL,78,15,22,37,-2,14,13,1,1,1,19,3,0,142,10.6,,1275,16:21,332,394,45.7,33,25,,,,,,
15,Darren,Archibald,RW,2018-19,28,TOT,NHL,12,1,1,2,-3,12,1,0,0,0,1,0,0,10,10.0,,89,7:23,0,1,0.0,4,10,,,,,,
16,Zach,Aston-Reese,C,2018-19,24,PIT,NHL,43,8,9,17,12,26,7,0,1,1,9,0,0,76,10.5,,587,13:39,8,10,44.4,37,138,,,,,,
17,Andreas,Athanasiou,C,2018-19,24,DET,NHL,76,30,24,54,-9,38,27,3,0,4,16,8,0,216,13.9,,1290,16:58,171,228,42.9,26,33,,,,,,
18,Cam,Atkinson,RW,2018-19,29,CBJ,NHL,80,41,28,69,3,20,29,8,4,8,22,6,0,295,13.9,,1550,19:23,24,52,31.6,25,27,,,,,,
19,Nicolas,Aubé-Kubel,RW,2018-19,22,PHI,NHL,9,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,,50,5:35,0,0,,0,14,,,,,,
20,David,Backes,C,2018-19,34,BOS,NHL,70,7,13,20,0,31,5,2,0,1,8,5,0,129,5.4,,913,13:02,176,133,57.0,30,140,,,,,,
21,Mikael,Backlund,C,2018-19,29,CGY,NHL,77,21,26,47,34,52,19,1,1,4,24,1,1,205,10.2,,1378,17:54,511,520,49.6,26,52,,,,,,
22,Nicklas,Bäckström,C,2018-19,31,WSH,NHL,80,22,52,74,2,30,15,7,0,5,34,18,0,169,13.0,,1596,19:57,700,739,48.6,30,54,,,,,,
23,Sven,Baertschi,LW,2018-19,26,VAN,NHL,26,9,5,14,-9,6,6,3,0,0,1,4,0,43,20.9,,394,15:08,1,3,25.0,13,18,,,,,,
24,Justin,Bailey,RW,2018-19,23,PHI,NHL,11,0,1,1,0,2,0,0,0,0,1,0,0,5,0.0,,63,5:44,0,0,,5,9,,,,,,
25,Rūdolfs,Balcers,LW,2018-19,21,OTT,NHL,36,5,9,14,-7,10,2,3,0,1,8,1,0,48,10.4,,445,12:21,1,6,14.3,24,18,,,,,,
26,Ivan,Barbashev,C,2018-19,23,STL,NHL,80,14,12,26,-4,17,12,0,2,1,12,0,0,60,23.3,,921,11:31,201,240,45.6,31,86,,,,,,
27,Mark,Barberio,D,2018-19,28,COL,NHL,12,1,0,1,-6,4,1,0,0,0,0,0,0,11,9.1,,183,15:14,0,0,,14,13,,,,,,
28,Aleksander,Barkov,C,2018-19,23,FLA,NHL,82,35,61,96,-3,8,22,13,0,5,42,18,1,206,17.0,,1833,22:21,1041,898,53.7,61,28,,,,,,
29,Tyson,Barrie,D,2018-19,27,COL,NHL,78,14,45,59,-3,36,12,2,0,2,22,23,0,218,6.4,,1699,21:47,0,0,,93,48,,,,,,
30,Matt,Bartkowski,D,2018-19,30,MIN,NHL,2,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,,21,10:42,0,0,,1,1,,,,,,
31,Mathew,Barzal,C,2018-19,21,NYI,NHL,82,18,44,62,-5,46,15,3,0,3,29,15,0,179,10.1,,1470,17:55,241,339,41.6,56,25,,,,,,
32,Nathan,Bastian,RW,2018-19,21,NJD,NHL,7,3,0,3,0,10,3,0,0,0,0,0,0,13,23.1,,89,12:41,3,0,100.0,1,24,,,,,,
33,Gavin,Bayreuther,D,2018-19,24,DAL,NHL,19,2,3,5,2,10,2,0,0,0,1,2,0,25,8.0,,346,18:11,0,0,,19,11,,,,,,
34,Jake,Bean,D,2018-19,20,CAR,NHL,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,,17,8:28,0,0,,0,1,,,,,,
