,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
328,Mikael,Granlund,C,2021-22,29,NSH,NHL,80,11,53,64,-9,33,8,3,0,3,28,25,0,117,9.4,,1633,20:25,569,637,47.2,45,92,,,,0,0,
329,Derek,Grant,C,2021-22,31,ANA,NHL,71,15,14,29,-16,27,12,2,1,1,13,0,1,117,12.8,,1016,14:19,204,216,48.6,49,69,,,,0,0,
330,Ryan,Graves,D,2021-22,26,NJD,NHL,75,6,22,28,-9,24,6,0,0,0,22,0,0,111,5.4,,1554,20:43,0,0,,135,90,,,,0,0,
331,Anthony,Greco,RW,2021-22,28,NYR,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,,10,9:44,0,0,,1,1,,,,0,0,
332,Andy,Greene,D,2021-22,39,NYI,NHL,69,2,8,10,-13,10,2,0,0,0,8,0,0,52,3.8,,1201,17:25,0,0,,126,39,,,,0,0,
333,Jordan,Greenway,LW,2021-22,24,MIN,NHL,62,10,17,27,26,69,9,1,0,3,16,1,0,110,9.1,,903,14:34,18,31,36.7,31,155,,,,0,0,
334,A.J.,Greer,LW,2021-22,25,NJD,NHL,9,1,1,2,0,2,1,0,0,0,1,0,0,14,7.1,,71,7:51,2,1,66.7,3,20,,,,0,0,
335,Noah,Gregor,C,2021-22,23,SJS,NHL,63,8,15,23,-21,25,8,0,0,1,12,3,0,156,5.1,,941,14:56,12,23,34.3,49,118,,,,0,0,
336,Seth,Griffith,C,2021-22,29,EDM,NHL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,6,5:37,0,0,,0,1,,,,0,0,
337,Rocco,Grimaldi,C,2021-22,28,NSH,NHL,7,0,0,0,0,2,0,0,0,0,0,0,0,8,0.0,,77,10:56,6,3,66.7,0,5,,,,0,0,
338,Jordan,Gross,D,2021-22,26,COL,NHL,1,0,0,0,0,4,0,0,0,0,0,0,0,0,,,8,8:19,0,0,,0,1,,,,0,0,
339,Benoit-Olivier,Groulx,C,2021-22,21,ANA,NHL,18,1,2,3,0,2,1,0,0,0,2,0,0,17,5.9,,198,11:00,38,45,45.8,6,19,,,,0,0,
340,Carl,Grundström,RW,2021-22,24,LAK,NHL,54,9,6,15,4,26,9,0,0,1,6,0,0,83,10.8,,588,10:53,6,13,31.6,19,134,,,,0,0,
