,Player First Name,Player Last Name,Date of Injury,Team When Injured,Injury Description,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards
184,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",2021-22,26,COL,NHL,80,22,39,61,12,18,18,4,0,5,32,7,0,149,14.8,313,1301,16:16,8,12,40.0,34,49,28,39,
185,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",2022-23,27,SEA,NHL,49,13,26,39,-9,14,9,4,0,3,16,10,0,105,12.4,206,811,16:33,0,6,0.0,15,17,31,17,
186,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",2023-24,28,SEA,NHL,13,1,4,5,-1,2,1,0,0,0,2,2,0,18,5.6,41,167,12:52,0,1,0.0,5,2,3,2,
187,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",5 yrs,,WSH,NHL,328,62,83,145,34,77,55,7,0,13,73,10,0,486,12.8,950,4183,12:45,118,146,44.7,122,165,136,143,
188,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",3 yrs,,COL,NHL,191,61,89,150,27,50,51,10,0,14,63,26,0,354,17.2,677,2982,15:37,15,23,39.5,84,97,71,96,
189,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",2 yrs,,SEA,NHL,62,14,30,44,-10,16,10,4,0,3,18,12,0,123,11.4,247,978,15:47,0,7,0.0,20,19,34,19,
190,Andre,Burakovsky,2023-02-09, Kraken," placed on IR with lower body injury (out for season)]
",Career,,10 yrs,NHL,581,137,202,339,51,143,116,21,0,30,154,48,0,963,14.2,1874,8144,14:01,133,176,43.0,226,281,241,258,
191,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2012-13,22,EDM,NHL,48,8,19,27,-17,8,4,4,0,3,8,11,0,85,9.4,190,1030,21:27,0,1,0.0,35,15,15,34,"AR-1,Calder-7"
192,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2013-14,23,EDM,NHL,74,11,22,33,-22,16,10,1,0,3,11,11,0,109,10.1,242,1728,23:21,0,1,0.0,107,30,20,63,
193,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2014-15,24,EDM,NHL,81,6,25,31,-17,12,6,0,0,1,13,12,0,122,4.9,301,1832,22:37,1,0,100.0,114,41,20,69,Byng-56
194,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2015-16,25,TOT,NHL,63,4,14,18,-15,16,2,2,0,0,8,6,0,82,4.9,,1162,18:27,0,2,0.0,72,36,21,40,
195,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2015-16,25,EDM,NHL,45,3,7,10,-22,14,2,1,0,0,2,5,0,59,5.1,134,906,20:08,0,2,0.0,66,29,16,38,
196,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2015-16,25,PIT,NHL,18,1,7,8,7,2,0,1,0,0,6,1,0,23,4.3,44,256,14:14,0,0,,6,7,5,2,
197,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2016-17,26,PIT,NHL,78,12,39,51,27,34,9,3,0,1,22,17,0,154,7.8,293,1595,20:27,0,0,,116,67,22,37,"AS-11,Norris-10"
198,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2017-18,27,PIT,NHL,63,4,23,27,22,14,4,0,0,1,13,10,0,109,3.7,235,1229,19:31,0,0,,93,36,17,27,
199,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2018-19,28,PIT,NHL,29,2,13,15,0,4,1,1,0,0,8,5,0,47,4.3,99,595,20:30,0,0,,41,25,5,27,
200,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2019-20,29,PIT,NHL,46,3,9,12,-13,6,3,0,0,0,3,6,0,86,3.5,178,914,19:53,0,0,,50,36,6,18,
201,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2020-21,30,WSH,NHL,46,3,24,27,12,10,3,0,0,1,16,8,0,67,4.5,130,875,19:01,0,0,,49,28,12,25,
202,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2021-22,31,WSH,NHL,74,4,19,23,-15,16,2,2,0,1,16,3,0,92,4.3,205,1252,16:55,0,0,,87,40,13,25,
203,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2022-23,32,SEA,NHL,73,7,27,34,4,40,6,1,0,4,15,12,0,98,7.1,215,1299,17:47,0,0,,72,30,14,24,
204,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2023-24,33,SEA,NHL,36,4,10,14,-11,20,4,0,0,1,5,5,0,56,7.1,141,573,15:55,0,0,,36,10,6,9,
205,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",5 yrs,,PIT,NHL,234,22,91,113,43,60,17,5,0,2,52,39,0,419,5.3,849,4589,19:37,0,0,,306,171,55,111,
206,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",4 yrs,,EDM,NHL,248,28,73,101,-78,50,22,6,0,7,34,39,0,375,7.5,867,5495,22:09,1,4,20.0,322,115,71,204,
207,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2 yrs,,WSH,NHL,120,7,43,50,-3,26,5,2,0,2,32,11,0,159,4.4,335,2127,17:43,0,0,,136,68,25,50,
208,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",2 yrs,,SEA,NHL,109,11,37,48,-7,60,10,1,0,5,20,17,0,154,7.1,356,1872,17:10,0,0,,108,40,20,33,
209,Justin,Schultz,2023-02-09, Kraken," activated from IR]
",Career,,12 yrs,NHL,711,68,244,312,-45,196,54,14,0,16,138,106,0,1107,6.1,2407,14083,19:48,1,4,20.0,872,394,171,398,
