,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
0,Calen,Addison,D,2021-22,21,MIN,NHL,15,2,2,4,-4,2,2,0,0,0,2,0,0,17,11.8,,207,13:47,0,0,,6,12,,,,,,
1,Andrew,Agozzino,LW,2021-22,31,OTT,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,7,6:52,1,2,33.3,0,4,,,,,,
2,Jack,Ahcan,D,2021-22,24,BOS,NHL,6,1,0,1,-3,0,0,1,0,0,0,0,0,5,20.0,,96,16:02,0,0,,5,8,,,,,,
3,Sebastian,Aho,F,2021-22,24,CAR,NHL,79,37,44,81,18,38,23,13,1,9,27,15,2,221,16.7,,1497,18:57,555,504,52.4,23,76,,,,,,
4,Sebastian,Aho,D,2021-22,25,NYI,NHL,36,2,10,12,-6,10,2,0,0,0,8,2,0,34,5.9,,592,16:27,0,0,,42,32,,,,,,
5,Alexander,Alexeyev,D,2021-22,22,WSH,NHL,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,,11,10:35,0,0,,0,1,,,,,,
6,Michael,Amadio,C,2021-22,25,TOT,NHL,56,11,7,18,1,15,11,0,0,2,7,0,0,64,17.2,,681,12:10,30,42,41.7,16,42,,,,,,
7,Michael,Amadio,C,2021-22,25,TOR,NHL,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,,27,9:10,0,2,0.0,0,3,,,,,,
8,Joey,Anderson,RW,2021-22,23,TOR,NHL,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,,44,8:46,0,0,,0,3,,,,,,
9,Josh,Anderson,RW,2021-22,27,MTL,NHL,69,19,13,32,-25,65,17,2,0,1,12,1,0,151,12.6,,1189,17:14,20,22,47.6,35,153,,,,,,
10,Michael,Anderson,D,2021-22,22,LAK,NHL,57,2,6,8,6,8,2,0,0,1,6,0,0,58,3.4,,1147,20:07,0,0,,69,133,,,,,,
11,Jaret,Anderson-Dolan,C,2021-22,22,LAK,NHL,7,0,0,0,-3,4,0,0,0,0,0,0,0,5,0.0,,97,13:47,9,7,56.3,3,12,,,,,,
12,Rasmus,Andersson,D,2021-22,25,CGY,NHL,82,4,46,50,30,28,2,2,0,1,28,17,1,152,2.6,,1859,22:40,0,0,,125,63,,,,,,
13,Andy,Andreoff,LW,2021-22,30,NYI,NHL,6,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,,60,9:59,9,8,52.9,1,11,,,,,,
14,Anthony,Angello,C,2021-22,25,PIT,NHL,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,,27,6:38,0,1,0.0,0,13,,,,,,
15,Joel,Armia,RW,2021-22,28,MTL,NHL,60,6,8,14,-15,14,4,1,1,0,6,2,0,103,5.8,,823,13:43,3,14,17.6,27,104,,,,,,
16,Rasmus,Asplund,F,2021-22,24,BUF,NHL,80,8,19,27,-5,10,5,2,1,1,17,2,0,130,6.2,,1142,14:17,26,35,42.6,14,30,,,,,,
17,Zach,Aston-Reese,C,2021-22,27,TOT,NHL,69,5,10,15,9,28,5,0,0,0,10,0,0,78,6.4,,900,13:02,4,4,50.0,42,231,,,,,,
18,Zach,Aston-Reese,C,2021-22,27,ANA,NHL,17,3,1,4,1,6,3,0,0,0,1,0,0,26,11.5,,228,13:25,1,2,33.3,10,44,,,,,,
19,Cam,Atkinson,RW,2021-22,32,PHI,NHL,73,23,27,50,-2,10,18,2,3,6,24,3,0,215,10.7,,1332,18:15,5,12,29.4,45,20,,,,,,
20,Ronald,Attard,D,2021-22,22,PHI,NHL,15,2,2,4,-2,8,2,0,0,0,2,0,0,16,12.5,,249,16:36,0,0,,17,24,,,,,,
21,Nicolas,Aubé-Kubel,RW,2021-22,25,TOT,NHL,74,11,12,23,11,47,11,0,0,2,12,0,0,87,12.6,,726,9:49,3,9,25.0,18,140,,,,,,
22,Nicolas,Aubé-Kubel,RW,2021-22,25,PHI,NHL,7,0,1,1,-3,6,0,0,0,0,1,0,0,9,0.0,,69,9:49,0,0,,1,17,,,,,,
23,Mikael,Backlund,C,2021-22,32,CGY,NHL,82,12,27,39,16,30,12,0,0,1,20,7,0,214,5.6,,1404,17:07,621,608,50.5,27,62,,,,,,
24,Nicklas,Bäckström,C,2021-22,34,WSH,NHL,47,6,25,31,-8,12,5,1,0,1,12,13,0,68,8.8,,822,17:29,301,348,46.4,16,16,,,,,,
25,Brandon,Baddock,LW,2021-22,26,MTL,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8:24,0,0,,0,6,,,,,,
26,Sven,Baertschi,LW,2021-22,29,VEG,NHL,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,14,13:54,0,0,,0,0,,,,,,
